"SNO","group_name","label_name","label_value_in_english","label_value_in_entered_language"
"1417","","Export Selected","Export Selected",""
"1418","","start-date","Start Date",""
"1419","","start-date-time","Start Date & Time",""
"1420","","aids","Aids Information",""
"1421","","package","Package",""
"1422","","Access Control","Access Control",""
"1423","","end-date","End Date",""
"1424","","end-date-time","End Date & Time",""
"1425","","spacial-information","Special Information",""
"1426","","validity","Validity (in days)",""
"1427","","Others","Others",""
"1428","","start-time","Start time",""
"1429","","workshift-status","WorkShit Status",""
"1430","","company-phone","Company's Phone No.",""
"1431","","view-activity-comments","View Activity Comments",""
"1432","","Menu Levels","Menu Levels",""
"1433","","end-time","End Time",""
"1434","","followup-status","FollowUp Status",""
"1435","","company-address","Company's Address",""
"1436","","graphical-data","Graphical Representation",""
"1437","","Second Level","Second Level",""
"1438","","city","City",""
"1439","","workshift-filter","Work-Shift Filter",""
"1440","","institute-phone","Institute's Phone No.",""
"1441","","activity-count","Activity",""
"1442","","Second Level 2.1","Second Level 2.1",""
"1443","","weekly-hour-alloted-by-govt","Weekly Hour",""
"1444","","employee-status","Employee Status",""
"1445","","institute-address","Institute's Address",""
"1446","","ip-count","IP",""
"1447","","Second Level 2.2","Second Level 2.2",""
"1448","","is_family_required","Family Member",""
"1449","","patient-status","Patient Status",""
"1450","","institute-details","Institute Details",""
"1451","","task-count","Task",""
"1452","","Third Level 3.1","Third Level 3.1",""
"1453","","disease-description","Disease Description",""
"1454","","department-status","Department Status",""
"1455","","enter-institute-details","Enter Institute Details",""
"1456","","patient-detail","Patient Details",""
"1457","","Third Level 3.2","Third Level 3.2",""
"1458","","implementations","Implementations",""
"1459","","category-status","Category Status",""
"1460","","enter-company-details","Enter Company Details",""
"1461","","contact-person-name","Contact Person Name",""
"1462","","Disabled Menu","Disabled Menu",""
"1463","","when-it-started","When It Started",""
"1464","","subcategory-status","Sub-Category Status",""
"1465","","short-term-activity","Shot Term Activity",""
"1466","","establishment_year","Establishment Year",""
"1467","","Documentation","Documentation",""
"1468","","repetition-type","Repetition Type",""
"1469","","activity-status","Activity Status",""
"1470","","daily-activity","Daily Activity",""
"1471","","license-status","License Status",""
"1472","","Raise Support","Raise Support",""
"1473","","repetition-days","Repetition Days",""
"1474","","category-filter","Category Filter",""
"1475","","no-of-hours","Hours",""
"1476","","subscription","Subscription",""
"1477","","Change Log","Change Log",""
"1478","","shift-color","Shift Color",""
"1479","","subcategory-filter","SubCategory Filter",""
"1480","","issuer","Issuer",""
"1481","","package-name","Package Name",""
"1482","","text","Cake sesame snaps cupcake gingerbread danish I love gingerbread. Apple pie pie jujubes chupa chups muffin halvah lollipop. Chocolate cake oat cake tiramisu marzipan sugar plum. Donut sweet pi",""
"1483","","all-employees","All Employees",""
"1484","","permission-filter","Permission Filter",""
"1485","","period","Period",""
"1486","","activity-moved-to-not-applicable","Activity moved to not applicable.",""
"1487","","Pricing","Pricing",""
"1488","","all-patients","All Patients",""
"1489","","ip-filter","Implementations Filter",""
"1490","","is-other","Other",""
"1491","","activity-moved-to-done","Activity moved to done.",""
"1492","","Blog","Blog",""
"1493","","all-nurse","All Nurse",""
"1494","","ip-status","Implementations Status",""
"1495","","is_other_name","Name",""
"1496","","add-this-activity-to-trash","Add this activity to trash.",""
"1497","","Detail","Detail",""
"1498","","nurses","Nurses",""
"1499","","no-record","No Record found",""
"1500","","presented","Presented",""
"1501","","no-comments-yet","No Comments.",""
"1502","","Form Repeater","Form Repeater",""
"1503","","patients","Patients",""
"1504","","add-repetition","Add Repetition ?",""
"1505","","limitations","Limitations",""
"1506","","no-activities","No Activities",""
"1507","","preview","Preview",""
"1508","","followups","Follow Ups",""
"1509","","enable-repetition","Enable Repetition",""
"1510","","no-restriction","Ingen Begränsning",""
"1511","","upcoming-activity","Upcoming",""
"1512","","add","Add",""
"1513","","shifts","Company Work Shift",""
"1514","","add-repetition-details","You can add repetition by day, week, month, year.",""
"1515","","slight-restriction","Lätt Begräsning",""
"1516","","done-activity","Completed",""
"1517","","click-to-inactive","Click to inactive",""
"1518","","companies-browse","Companies Browse",""
"1519","","every","Every",""
"1520","","moderate-restriction","Måttlig Begränsning",""
"1521","","not-done-activity","Incomplete",""
"1522","","click-to-active","Click to active",""
"1523","","companies-read","Companies Read",""
"1524","","repetition-info","Enter from 1 - {{day}} along with repetition type.",""
"1525","","large-limitation","Stor Begräsning",""
"1526","","not-applicable-activity","Not Applicable",""
"1527","","strike","Strike",""
"1528","","companies-Add","Companies Add",""
"1529","","day","Day",""
"1530","","total-limitation","Total Begräsning",""
"1531","","journal-activity","Journal",""
"1532","","Ratings","Ratings",""
"1533","","companies-edit","Companies Edit",""
"1534","","week","Week",""
"1535","","non-specific","Ej specifik",""
"1536","","deviation-activity","Deviation",""
"1537","","show","show",""
"1538","","companies-delete","Companies Delete",""
"1539","","month","Month",""
"1540","","choose-goals","Choose Goal",""
"1541","","ips","Patient Plan",""
"1542","","entries","entries",""
"1543","","role-browse","Role Browse",""
"1544","","year","Year",""
"1545","","more-about-limitation","Write more details.",""
"1546","","organization-number","Organization Number",""
"1547","","prev","Prev",""
"1548","","role-read","Role Read",""
"1549","","1-99","1-99",""
"1550","","how-support-should-be-given","How the support should be given?",""
"1551","","devitation","Deviation",""
"1552","","signed-by","Signed by",""
"1553","","role-add","Role Add",""
"1554","","mon","M",""
"1555","","specify-when-the-support-is-to-be-given","Please Specify when the support is to be given to the patient",""
"1556","","dev-form","Deviation Details",""
"1557","","next","Next",""
"1558","","role-edit","Role Edit",""
"1559","","tus","T",""
"1560","","when-the-support-is-to-be-given","When the support is to be given?",""
"1561","","customer","Customer",""
"1562","","task-details","Task Details",""
"1563","","role-delete","Role Delete",""
"1564","","wed","W",""
"1565","","select-days","Select Days",""
"1566","","add-description","Add Description",""
"1567","","BlockUI","BlockUI",""
"1568","","dashboard-browse","Dashboard Browse",""
"1569","","thu","T",""
"1570","","how-many-times-a-day","How many times a day?",""
"1571","","add-description-details","Please add your description here.",""
"1572","","Reactstrap","Reactstrap",""
"1573","","notifications-browse","Notifications Browse",""
"1574","","fri","F",""
"1575","","when-during-the-day-the-support-is-to-be-given","When during the day the support is to be given?",""
"1576","","add-other-details","Add other details here.",""
"1577","","welcome","Welcome",""
"1578","","notifications-add","Notifications Add",""
"1579","","sat","S",""
"1580","","who-should-give-the-support","Who should give the support?",""
"1581","","branch-patient","Branch & Patient",""
"1582","","Reset Password","Reset Password",""
"1583","","notifications-edit","Notifications Edit",""
"1584","","sun","S",""
"1585","","caretaker","Caretaker",""
"1586","","related-factor","Related Factor",""
"1587","","Verify Email","Verify Email",""
"1588","","notifications-delete","Notifications Delete",""
"1589","","last_day","Last day of month",""
"1590","","staff","Staff",""
"1591","","deviation-details","Deviation Detail",""
"1592","","Deactivate Account","Deactivate Account",""
"1593","","requests-browse","Requests Browse",""
"1594","","select-day","Select Day",""
"1595","","sub-goals","Sub Goals",""
"1596","","investigation","Investigation",""
"1597","","Promotional","Promotional",""
"1598","","requests-add","Requests Add",""
"1599","","please-select-some-question","Please select at least one question to continue.",""
"1600","","maintain-ability","Maintain Ability",""
"1601","","add-investigation-details","Add Investigation Details.",""
"1602","","Apps & Pages","Apps & Pages",""
"1603","","requests-read","Requests Read",""
"1604","","done-by","Done By",""
"1605","","improve-ability","Improve Ability",""
"1606","","edited_date","Edited Date",""
"1607","","User Interface","User Interface",""
"1608","","requests-edit","Requests Edit",""
"1609","","notify-to-users","Notify To Users",""
"1610","","develop-ability","Develop Ability",""
"1611","","receipt-no","Receipt No",""
"1612","","Misc","Misc",""
"1613","","requests-delete","Requests Delete",""
"1614","","not-done-reason","Not Done Reason",""
"1615","","improve-participation","Improve Participation",""
"1616","","patient-cashier","Patient Cashier",""
"1617","","License","License",""
"1618","","users-browse","Users Browse",""
"1619","","not-applicable-reason","Not Applicable Reason",""
"1620","","manage-independently","Manage Independently",""
"1621","","amount","Amount",""
"1622","","API Key","API Key",""
"1623","","users-read","Users Read",""
"1624","","remind-before-start","Remind Before Start",""
"1625","","more-about-sub-goal","Write more details.",""
"1626","","in","In",""
"1627","","Accordion","Accordion",""
"1628","","users-add","Users Add",""
"1629","","remind-after-end","Remind After End",""
"1630","","comments","Comments",""
"1631","","out","Out",""
"1632","","OffCanvas","OffCanvas",""
"1633","","users-edit","Users Edit",""
"1634","","add-students-details","Add Student Details",""
"1635","","address-url","Address Link",""
"1636","","add-patient-cashier","Add Patient Cashier",""
"1637","","permissions","Permissions",""
"1638","","users-delete","Users Delete",""
"1639","","add-working-details","Add Working Details",""
"1640","","video-url","Video Link",""
"1641","","is-signed","Is Signed",""
"1642","","Modal Examples","Modal Examples",""
"1643","","activitiesCls-browse","ActivitiesCls Browse",""
"1644","","selected-agencies-hours","Selected Agencies Hours",""
"1645","","info-url","Information Link",""
"1646","","is-completed","Is Completed",""
"1647","","Roles & Permissions","Roles & Permissions",""
"1648","","activitiesCls-read","ActivitiesCls Read",""
"1649","","institute-name","Institute Name",""
"1650","","body-functions","Body Functions",""
"1651","","deviation-filter","Deviation Filter",""
"1652","","dashboard","Dashboard",""
"1653","","activitiesCls-add","ActivitiesCls Add",""
"1654","","time-from","Time From",""
"1655","","personal-factors","Personal Factors",""
"1656","","is-secret","Is Secret",""
"1657","","loading-error","Unable to load the resource, please try again.",""
"1658","","activitiesCls-edit","ActivitiesCls Edit",""
"1659","","time-to","Time To",""
"1660","","health-conditions","Health Conditions",""
"1661","","date","Date",""
"1662","","login-failed","Login Failed, try again",""
"1663","","activitiesCls-delete","ActivitiesCls Delete",""
"1664","","working-from","Working From",""
"1665","","other-factors","Other Factors",""
"1666","","assigned-to","Assigned To",""
